Timestamp,Ciudad 1,Ciudad 2,Ciudad 3,Ciudad 4,Ciudad 5,Ciudad 6,Ciudad 7,Ciudad 8,Ciudad 9,Ciudad 10,Ciudad 11,Ciudad 12
3/7/2023 15:09:27,Sevilla,Cadiz,Madrid,Barcelona,San Sebastian,Almeria,Malaga,Santiago de Compostela,Caceres,Santiago de Compostela,Ceuta,Melilla
3/7/2023 20:41:28,Asturias,Zurgena,Yeles,Viveiro,Vicedo ,Vegadeo,Valverde ,Valldemosa,Rianxo,Esporlas,Colonia de San Pedro,Can Picafort 
3/7/2023 20:54:06,Valencia,Barcelona ,San Sebastián ,Segovia,Santiago de Compostela ,Toledo,Salamanca,Asturias,Burgos,Pamplona,Zaragoza,Girona
3/7/2023 21:31:53,La Coruna,Huesca,Baiona,San Sebastian ,Ecija,Sahagun,Salamanca,Merida,Minas de Riotinto,Mont-roig del Camp,Nijar,Tias
3/7/2023 23:16:36,Salamanca,Malaga,Sevilla,Cadiz,Huesca,Zaragoza,Oviedo,Santiago de Compostela,Tenerife,Mallorca,Ibiza,Cordoba
3/8/2023 3:57:18,Madrid,Barcelona,Sevilla,Mallorca,Tenerife,Valencia,Ibiza,Granada,Malaga,Palma de Mallorca,Lanzarote,Cordoba
3/8/2023 13:41:41,Granada,Cadiz,Cordoba,Sevilla,Malaga,Almeria,Jaen,Huelva,Ronda,Barcelona,Madrid,Bilbao
